HG03114	FEMALE
HG03115	MALE
HG03117	FEMALE
HG03118	MALE
HG03120	MALE
HG03121	FEMALE
HG03123	FEMALE
HG03124	MALE
HG03126	FEMALE
HG03127	MALE
HG03129	FEMALE
HG03130	MALE
HG03132	FEMALE
HG03133	MALE
HG03135	FEMALE
HG03136	MALE
HG03139	MALE
HG03157	MALE
HG03159	FEMALE
HG03160	MALE
HG03162	FEMALE
HG03163	MALE
HG03166	MALE
HG03168	FEMALE
HG03169	MALE
HG03172	MALE
HG03175	MALE
HG03189	FEMALE
HG03190	MALE
HG03193	MALE
HG03195	FEMALE
HG03196	MALE
HG03198	FEMALE
HG03199	MALE
HG03202	MALE
HG03240	MALE
HG03241	FEMALE
HG03246	MALE
HG03247	FEMALE
HG03258	MALE
HG03259	FEMALE
HG03265	MALE
HG03267	FEMALE
HG03268	MALE
HG03270	FEMALE
HG03271	MALE
HG03279	FEMALE
HG03280	MALE
HG03291	FEMALE
HG03294	FEMALE
HG03295	MALE
HG03297	FEMALE
HG03298	MALE
HG03300	FEMALE
HG03301	MALE
HG03303	FEMALE
HG03304	MALE
HG03311	MALE
HG03313	MALE
HG03342	FEMALE
HG03343	MALE
HG03351	FEMALE
HG03352	MALE
HG03354	FEMALE
HG03363	FEMALE
HG03366	FEMALE
HG03367	MALE
HG03369	FEMALE
HG03370	MALE
HG03372	FEMALE
HG03499	FEMALE
HG03511	FEMALE
HG03514	FEMALE
HG03515	MALE
HG03517	FEMALE
HG03518	MALE
HG03520	FEMALE
HG03521	MALE
HG03538	MALE
HG03539	FEMALE
HG03585	MALE
HG03589	FEMALE
HG03593	MALE
HG03594	MALE
HG03595	FEMALE
HG03598	FEMALE
HG03600	MALE
HG03603	MALE
HG03604	FEMALE
HG03607	FEMALE
HG03611	FEMALE
HG03615	MALE
HG03616	FEMALE
HG03642	FEMALE
HG03643	FEMALE
HG03644	MALE
HG03645	FEMALE
HG03646	MALE
HG03672	MALE
HG03673	FEMALE
HG03679	MALE
HG03680	MALE
HG03681	MALE
HG03684	FEMALE
HG03685	MALE
HG03686	MALE
HG03687	MALE
HG03689	FEMALE
HG03690	FEMALE
HG03691	MALE
HG03692	FEMALE
HG03693	MALE
HG03694	MALE
HG03695	MALE
HG03696	MALE
HG03697	MALE
HG03698	FEMALE
HG03711	MALE
HG03733	FEMALE
HG03736	FEMALE
HG03738	MALE
HG03740	MALE
HG03741	FEMALE
HG03743	MALE
HG03744	MALE
HG03745	MALE
HG03746	MALE
HG03750	MALE
HG03752	FEMALE
HG03753	MALE
HG03754	FEMALE
HG03755	MALE
HG03756	FEMALE
HG03757	FEMALE
HG03760	FEMALE
HG03793	FEMALE
HG03796	FEMALE
HG03800	MALE
HG03802	FEMALE
HG03803	MALE
HG03805	FEMALE
HG03808	FEMALE
HG03809	MALE
HG03812	MALE
HG03814	FEMALE
HG03815	MALE
HG03817	FEMALE
HG03821	MALE
HG03823	FEMALE
HG03824	MALE
HG03826	FEMALE
HG03829	FEMALE
HG03830	MALE
HG03832	FEMALE
HG03833	MALE
HG03836	FEMALE
HG03837	MALE
HG03838	FEMALE
HG03844	MALE
HG03846	MALE
HG03848	MALE
HG03849	FEMALE
HG03850	MALE
HG03851	MALE
HG03854	MALE
HG03856	MALE
HG03857	FEMALE
HG03858	FEMALE
HG03884	FEMALE
HG03885	MALE
HG03886	FEMALE
HG03887	MALE
HG03888	FEMALE
HG03890	MALE
HG03894	FEMALE
HG03895	FEMALE
HG03896	MALE
HG03897	FEMALE
HG03898	FEMALE
HG03899	MALE
HG03900	MALE
HG03902	MALE
HG03905	MALE
HG03907	FEMALE
HG03908	MALE
HG03910	FEMALE
HG03911	MALE
HG03913	FEMALE
HG03914	MALE
HG03916	FEMALE
HG03917	MALE
HG03919	FEMALE
HG03920	MALE
HG03922	FEMALE
HG03925	FEMALE
HG03926	MALE
HG03928	FEMALE
HG03931	FEMALE
HG03934	FEMALE
HG03937	FEMALE
HG03940	FEMALE
HG03941	MALE
HG03943	MALE
HG03944	FEMALE
HG03945	FEMALE
HG03947	FEMALE
HG03948	FEMALE
HG03949	FEMALE
HG03950	MALE
HG03951	FEMALE
HG03953	MALE
HG03955	FEMALE
HG03985	MALE
HG03986	FEMALE
HG03989	FEMALE
HG03990	MALE
HG03991	MALE
HG03995	FEMALE
HG03998	MALE
HG03999	MALE
HG04003	MALE
HG04006	MALE
HG04029	FEMALE
HG04033	MALE
HG04035	FEMALE
HG04038	FEMALE
HG04039	MALE
HG04042	FEMALE
HG04047	FEMALE
HG04075	FEMALE
HG04099	FEMALE
HG04100	MALE
HG04106	FEMALE
HG04107	MALE
HG04131	MALE
HG04134	MALE
HG04140	MALE
HG04141	FEMALE
HG04144	FEMALE
HG04146	MALE
HG04152	MALE
HG04153	FEMALE
HG04155	MALE
HG04156	FEMALE
HG04158	MALE
HG04159	FEMALE
HG04161	MALE
HG04162	FEMALE
